Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"A15 Hotel Sơn Tây","100","10/2 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 936 821 515","","https://www.facebook.com/a15hotel","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Phú Thịnh - Sơn Tây","95","A12 Liền Kề 7, Khu Đô Thị Phú Thịnh, Phường, Sơn Tây, Hà Nội, Việt Nam","+84 914 686 511","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,5","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Khách sạn Hoàng Gia","95","Lô E130 Kiến Trúc - Nghĩa Phủ, P, Sơn Tây, Hà Nội 12718, Việt Nam","+84 961 343 588","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Thanh Lan","95","Số nhà 17, ngõ 2, p, P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 983 121 868","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Khách Sạn Lâm Ký","95","119 Phố Quang Trung, P, Sơn Tây, Hà Nội, Việt Nam","+84 24 3361 6588","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà nghỉ Hưng Thịnh","95","Unnamed, Road, Sơn Tây, Hà Nội, Việt Nam","+84 965 973 536","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,3","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Hương Quỳnh","95","Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 4386","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,3","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Quang Huy","95","5F7C+M5V, QL32, Sơn Tây, Hà Nội, Việt Nam","+84 973 631 274","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,3","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Trường Tú","95","5F5G+V3C, QL32, Sơn Tây, Hà Nội 100000, Việt Nam","+84 984 914 815","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,9","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Nghỉ Tiến Đạt","95","117 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 945 667 080","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,7","2","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
