Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Doai Homestay Duong Lam","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/67a23fa0905c444f2d091e4c?dest=ago&cat=Vacation+rental+%28other%29&lat=21.15821&lng=105.47125&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Đường Lâm homestay - House Number 9 - Double Room with Private Bathroom","30","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/63990178c551970d3c778f6d?dest=bkng&cat=House&lat=21.1571&lng=105.46818&language=pt","","","Đã có Web","4,3","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Villa Đường Lâm- Sơn Tây - Three-Bedroom Chalet","20","Sơn Tây, Hà Nội, Việt Nam","","https://www.freecancellations.com/search/F2olSwBdH3BXWVIHXFsFRloMWBZkQl1B?lat=21.15767&lng=105.47142&language=de","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Thanh Huong Unique House","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/655208451811a9820ec4fe48?dest=ago&cat=Vacation+rental+%28other%29&lat=21.15612&lng=105.46571&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Nha nghi Tuan Hoai","60","Tông, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","","0","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10)"
"Xomhe villa làng cổ đường lâm - Two-Bedroom Villa","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/67a232165a2dfa15b182ecbb?dest=bkng&cat=Villa&lat=21.15903&lng=105.46771&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Đường Lâm homestay- Đường Lâm House - Two-Bedroom House","70","Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","1,5","1","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Entire House in DuongLam Ancient Village - Duka Homestay2 - Two-Bedroom Apartment","20","Sơn Tây, Hà Nội, Việt Nam","","https://br.bluepillow.com/search/6335f54a314064d8ba359b93?dest=bkng&cat=House&lat=21.16023&lng=105.4714&language=pt","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Entire House in DuongLam Village - Duka Homestay2","20","Sơn Tây, Hà Nội, Việt Nam","","https://www.agoda.com/entire-house-in-duonglam-village-duka-homestay2/hotel/hanoi-vn.html","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
"Xomhe villa làng cổ đường lâm","20","Sơn Tây, Hà Nội, Việt Nam","","https://www.booking.com/hotel/vn/xomhe-villa-lang-co-duong-lam.en-gb.html?aid=2068758&utm_source=seogooglelocal&utm_medium=description&utm_term=hotel-13210632&utm_campaign=en-gb&label=seogooglelocal-link-imagesaow-hotel-13210632_grp-0_gendate-20260531","","","Đã có Web","","0","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10)"
