Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Cửa Hàng Phụ Tùng Xe Máy Hải Loan","95","58 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 961 131 234","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,5","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trung Tâm Dịch Vụ Lốp Xe Bridgestone Sơn Tây - Hà Nội","95","665 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 813 352 999","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"HEAD Dung Vượng 1","55","52 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 1800 545452","http://dungvuong.vn/","","","Đã có Web","4,4","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Manh Motor","100","51, Đồng Đồi, Sơn Tây, Hà Nội 100000, Việt Nam","+84 389 796 386","","https://www.facebook.com/con.contre.5?mibextid=D4KYlr","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cứu Hộ Ô Tô Sơn Tây","95","ngõ 18 P. Chùa Thông, Tông, Sơn Tây, Hà Nội, Việt Nam","+84 985 001 182","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Dũng Motor","100","Đường chùa Mía, Dông Sàng, Sơn Tây, Hà Nội 100000, Việt Nam","+84 985 521 420","","https://www.facebook.com/tiendung.quach.378?mibextid=LQQJ4d","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Gara Ô Tô Sơn Tây","95","5F7C+M5V, Đường Vào Chùa Mía, Sơn Tây, Hà Nội, Việt Nam","+84 349 831 288","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,8","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Á Châu Mobile - Sửa chữa điện thoại Sơn Tây","55","tổ dân phố 6, Đường Ngô Quyền, phường, Sơn Tây, Hà Nội 12700, Việt Nam","+84 825 981 983","https://www.tiktok.com/@achaumobiles?_t=ZS-8ymKPs1bAxs&_r=1","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Tiệm Rửa Xe","60","4GH2+CGG, Thôn 5, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","","0","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10)"
"Garage Ô Tô Đức Hạnh","95","436 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 989 888 875","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,4","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trung Tâm Dịch Vụ Lốp Ô Tô Hà Phát 2","95","523 Văn Miếu, Sơn Tây, Hà Nội 12700, Việt Nam","+84 835 232 233","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
