Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Phòng Khám Đa Khoa Thiên Phúc","95","Đ. Phú Hà, P, Sơn Tây, Hà Nội, Việt Nam","+84 342 365 115","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,6","2","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng khám Chuyên khoa tai mũi họng Bác Sĩ CKI Nguyễn Xuân Thưởng","95","Số 5 Ngõ phố hàng, Sơn Tây, Hà Nội 10000, Việt Nam","+84 345 345 246","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,0","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bệnh Viện Đa Khoa Sơn Tây","70","đường Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,7","2","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng khám Sản Phụ khoa Bs.Hạnh","95","3/2 Lê Lợi, Lê Lợi, Sơn Tây, Hà Nội, Việt Nam","+84 982 552 337","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,9","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Phụ Sản Đỗ Thị Thanh Thu","95","615 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 904 146 683","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","2,8","2","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Tai Mũi Họng - Bs Thơm","85","51 P. Tùng Thiện, Tông, Sơn Tây, Hà Nội 12700, Việt Nam","+84 987 818 198","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","","0","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10)"
"Phòng tiêm chủng Potec 61 Sơn Tây","55","Lô 17-LK18A, khu đô thị, HUD, P, Sơn Tây, Hà Nội, Việt Nam","+84 387 786 377","https://potec.vn/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trạm Y tế Phường Sơn Tây","95","1 Lê Lợi, P, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 4117","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,5","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Nhi Nam Anh","95","127 Phùng Khắc Khoan, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 3375","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Phòng Khám Hùng Sơn","85","Số 47 Liền Kề 5, Khu đô thị Tân Tây Đô, Đan Phượng, Hà Nội, Việt Nam","+84 961 666 056","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Có SĐT (+25); Chưa có Website (+20); Có tương tác/đang hoạt động (+10)"
