Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"massage sunshine spa -fo men","95","456 Đ. La Thành, phường, Sơn Tây, Hà Nội 10244, Việt Nam","+84 376 366 123","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ghế massage Hà Nội - Fuji luxury Sơn Tây","55","248 P. Chùa Thông, Sơn Tây, Hà Nội 100000, Việt Nam","+84 1900 866685","http://massagechair.com.vn/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"MASSAGE DLT 518 SƠN TÂY","100","518 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 356 624 098","","https://www.facebook.com/profile.php?id=61574719492329","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ghế Massage Oreni sơn tây","55","413 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 849 451 222","https://oreni.vn/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Hà Trang Spa","95","1 Thiều Xuân, Sơn Tây, Hà Nội, Việt Nam","+84 968 596 899","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"LALA SPA","55","Số 06 LKV08, Khu Đô Thị HUD, Sơn Tây, Hà Nội 12700, Việt Nam","+84 393 627 886","https://lalaspa.vn/","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Plumeria Spa by Royal - Sơn Tây","55","KLK8 khu đô thị HUB, Sơn Tây, Hà Nội, Việt Nam","+84 916 688 278","https://pr-vn.com/plumeriaspasontay","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Hà Trang Viện Spa Đông Y","95","158 QL32, Sơn Tây, Hà Nội, Việt Nam","+84 968 596 899","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ghế Massage chính hãng AZADO Sơn Tây - Hà Nội","55","434 P. Chùa Thông, Sơn Tây, Hà Nội, Việt Nam","+84 911 080 089","https://azado.com.vn/","","","Đã có Web","4,5","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Hera Beauty & Spa","70","4 quang trung, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ghế Massage, Máy Chạy Bộ KingSport Chùa Thông - Sơn Tây Hà Nội","55","87 P. Chùa Thông, Tông, Sơn Tây, Hà Nội 100000, Việt Nam","+84 24 6688 3079","https://kingsport.vn/?utm_source=google&utm_medium=organic&utm_campaign=google_maps&utm_content=hanoi_sontay","","","Đã có Web","5,0","5","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
