Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Nhà Hàng Làng Chài","95","5F4W+759, Đường đê, Sơn Tây, Hà Nội, Việt Nam","+84 969 218 399","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,3","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"HUD Sơn Tây","95","Số 4, LKV13 đô thị HUD, Sơn Tây, Hà Nội, Việt Nam","+84 585 177 999","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Phượng Ớt (Ngọc Phượng)","55","99 Đ. La Thành, Sơn Tây, Hà Nội, Việt Nam","+84 24 3383 5918","https://dulichxudoai.com/product/nha-hang-ngoc-phuong-son-tay/","","","Đã có Web","4,0","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ẩm thực Sơn Tây","95","4GM3+8RF, Sơn Tây, Hà Nội, Việt Nam","+84 977 590 086","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"SEOUL BOSS - SƠN TÂY","100","Sơn Tây, Hà Nội, Việt Nam","+84 989 762 098","","https://www.facebook.com/Seoulboss.sontay/","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,9","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà hàng sông quê","95","Số 13 LKV09, khu đô thị HUD, Sơn Tây, Hà Nội 100000, Việt Nam","+84 981 202 062","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,6","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Hải Sản Hương My Trần","55","14 LKV 08, Khu Đô Thị Hud, Sơn Tây, Hà Nội, Việt Nam","+84 961 185 222","https://haisanhuongmytran.com/","","","Đã có Web","4,8","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Tản Viên","95","Sơn Tây, Hà Nội 100000, Việt Nam","+84 947 900 572","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,2","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Bếp Làng Đường Lâm","100","6 đường, Sơn Tây, Hà Nội 100000, Việt Nam","+84 355 901 410","","https://www.facebook.com/comlangduonglam?mibextid=kFxxJD","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,3","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Kui Thái","95","4GJ3+VGR, Sơn Tây, Hà Nội, Việt Nam","+84 965 788 823","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,7","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà hàng Vườn Ẩm Thực","70","4GV5+9JF, Đ. Thanh Niên, Sơn Tây, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Không SĐT (0); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Vườn Hoa Đường Lâm","95","Thôn Mông Phụ, Sơn Tây, Hà Nội 100000, Việt Nam","+84 368 543 888","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,2","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Lẩu Nướng Linh Trang","95","4 Vân Gia, Sơn Tây, Hà Nội, Việt Nam","+84 945 668 168","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà Hàng Tây Đô","60","190 Tây Sơn, Đan Phượng, Hà Nội, Việt Nam","","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Không SĐT (0); Chưa có Website (+20); Có tương tác/đang hoạt động (+10)"
"Nhà Cổ Vững Tâm","55","Sơn Tây, Hà Nội, Việt Nam","+84 369 791 648","https://nhacovungtam.netlify.app/","","","Đã có Web","4,3","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Ẩm Thực Vân Nam","95","3 Mai Trai, Sơn Tây, Hà Nội, Việt Nam","+84 856 945 555","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,5","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Trung tâm ẩm thực - cafe - nhà hàng - hội nghị Baly","55","35 P. Chùa Thông, Tông, Sơn Tây, Hà Nội 100433, Việt Nam","+84 24 3383 1831","http://baly.vn/","","","Đã có Web","4,1","4","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Nhà hàng Gỏi Cá Vũ Nhung","95","đường Phụ Khang- Phụ Khang, Đường Lâm, Sơn Tây, Hà Nội, Việt Nam","+84 987 314 668","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","5,0","5","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Harley Sơn Tây","95","4GJ4+394, Sơn Tây, Hà Nội, Việt Nam","+84 934 606 332","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Kong Buffet Lẩu Nướng Sơn Tây","100","Số 5 lkv 16a, Khu đô thị Hud, Sơn Tây, Hà Nội, Việt Nam","+84 979 001 916","","https://www.facebook.com/share/1LgdyKLmJ8/?mibextid=wwXIfr","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,9","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cửa hàng Bia Dung Chính (Đậu rán mắm tôm)","95","4GV5+24M, Sơn Tây, Hà Nội, Việt Nam","+84 387 912 488","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"SKY COFFEE VĂN MIẾU SƠN TÂY","95","456 QL32, Sơn Tây, Hà Nội 100000, Việt Nam","+84 326 180 884","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"cà phê Làng","100","5F59+VRQ, Sơn Tây, Hà Nội, Việt Nam","+84 984 001 890","","https://www.facebook.com/Cafe-L%C3%A0ng-247660725438474/?fref=ts","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,4","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
