Tên cửa hàng,Điểm tiềm năng,Địa chỉ,Số điện thoại,Đường dẫn Website,Đường dẫn Facebook,Link Zalo,Trạng thái Website,Đánh giá trung bình,Tổng số nhận xét,Lý do chấm điểm
"Next Xu cafe Sơn Tây","95","24 KĐT HUD, Sơn Tây, Hà Nội, Việt Nam","+84 963 323 018","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"SKY COFFEE VĂN MIẾU SƠN TÂY","95","456 QL32, Sơn Tây, Hà Nội 100000, Việt Nam","+84 326 180 884","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,6","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Highlands Coffee HUD Sơn Tây","55","Sơn Tây, Hà Nội, Việt Nam","+84 24 5678 0097","https://highlandscoffee.com.vn/","","","Đã có Web","3,9","3","Có SĐT (+25); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Gé café & Bistro","95","43 Ngõ 6 Phố Quang Trung, Sơn Tây, Hà Nội, Việt Nam","+84 948 019 666","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"H+ Garden Cafe","95","4GJ4+962, Unnamed, Road, Sơn Tây, Hà Nội, Việt Nam","+84 923 588 550","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,1","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cà Phê Tự Lực","100","23/29 Phan Chu Trinh, Khu tập thể Trường cấp 3, Sơn Tây, Hà Nội, Việt Nam","+84 962 223 047","","http://www.facebook.com/cftuluc","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,2","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"cà phê Làng","100","5F59+VRQ, Sơn Tây, Hà Nội, Việt Nam","+84 984 001 890","","https://www.facebook.com/Cafe-L%C3%A0ng-247660725438474/?fref=ts","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,4","4","Có SĐT (+25); Chưa có Website (+20); Có FB nhưng chưa có Web (+15); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Cafe Seasons","95","8 Trưng Vương, Sơn Tây, Hà Nội, Việt Nam","+84 24 3387 2888","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","3,7","3","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"H+ Signature","30","Số 5 LKV13 khu đô thị HUD, P, Sơn Tây, Hà Nội, Việt Nam","","http://hcongcaphe.com.vn/","","","Đã có Web","4,5","4","Không SĐT (0); Đã có Website (-20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
"Momi Coffee & kid","95","99 Phố Quang Trung, Sơn Tây, Hà Nội, Việt Nam","+84 376 441 699","","","","CHƯA CÓ WEBSITE (MỤC TIÊU SỐ 1)","4,7","4","Có SĐT (+25); Chưa có Website (+20); Địa bàn trung tâm Sơn Tây (+10); Có tương tác/đang hoạt động (+10)"
